SeasonID,TeamID,TeamName,OppPointsPG,HOME,PlayoffRank
1997,1610612747,Lakers,97.8,33-8,2
1997,1610612748,Heat,90.0,30-11,2
1997,1610612760,SuperSonics,93.4,35-6,2
1997,1610612754,Pacers,89.9,32-9,3
1997,1610612756,Suns,94.4,30-11,4
1997,1610612759,Spurs,88.5,31-10,4
1997,1610612766,Hornets,94.6,32-9,4
1997,1610612737,Hawks,92.3,29-12,5
1997,1610612739,Cavaliers,89.8,27-14,6
1997,1610612757,Trail Blazers,92.9,26-15,6
1997,1610612750,Timberwolves,100.4,26-15,7
1997,1610612751,Nets,98.1,26-15,7
1997,1610612752,Knicks,89.1,28-13,7
1997,1610612745,Rockets,99.5,24-17,8
1997,1610612758,Kings,98.7,21-20,9
1997,1610612764,Wizards,96.6,24-17,9
1997,1610612742,Mavericks,97.5,13-28,10
1997,1610612753,Magic,91.2,24-17,10
1997,1610612744,Warriors,97.4,12-29,11
1997,1610612763,Grizzlies,103.9,14-27,11
1997,1610612765,Pistons,92.6,25-16,11
1997,1610612738,Celtics,98.5,24-17,12
1997,1610612749,Bucks,96.4,21-20,12
1997,1610612746,Clippers,103.3,11-30,13
1997,1610612743,Nuggets,100.8,9-32,14
1997,1610612755,76ers,95.7,19-22,14
1997,1610612761,Raptors,104.2,9-32,15
1998,1610612748,Heat,84.0,18-7,1
1998,1610612754,Pacers,90.9,18-7,1
1998,1610612753,Magic,86.9,21-4,1
1998,1610612759,Spurs,84.7,21-4,1
1998,1610612762,Jazz,86.8,22-3,1
1998,1610612757,Trail Blazers,88.5,22-3,3
1998,1610612747,Lakers,96.0,18-7,4
1998,1610612745,Rockets,91.9,19-6,4
1998,1610612737,Hawks,83.4,16-9,4
1998,1610612765,Pistons,86.9,17-8,5
1998,1610612758,Kings,100.6,16-9,6
1998,1610612756,Suns,93.3,15-10,6
1998,1610612755,76ers,87.6,17-8,6
1998,1610612749,Bucks,90.0,17-8,6
1998,1610612750,Timberwolves,92.6,18-7,8
1998,1610612760,SuperSonics,95.9,17-8,8
1998,1610612752,Knicks,85.4,19-6,8
1998,1610612766,Hornets,93.0,16-9,9
1998,1610612744,Warriors,90.8,13-12,10
1998,1610612761,Raptors,92.8,14-11,10
1998,1610612742,Mavericks,94.0,15-10,11
1998,1610612739,Cavaliers,88.2,15-10,11
1998,1610612743,Nuggets,100.1,12-13,12
1998,1610612738,Celtics,94.9,10-15,12
1998,1610612746,Clippers,99.2,6-19,13
1998,1610612764,Wizards,93.4,13-12,13
1998,1610612763,Grizzlies,97.5,7-18,14
1998,1610612751,Nets,95.2,12-13,14
1998,1610612741,Bulls,91.4,8-17,15
1999,1610612747,Lakers,92.3,36-5,1
1999,1610612754,Pacers,96.7,36-5,1
1999,1610612748,Heat,91.3,33-8,2
1999,1610612762,Jazz,92.0,31-10,2
1999,1610612752,Knicks,90.7,33-8,3
1999,1610612757,Trail Blazers,91.0,30-11,3
1999,1610612755,76ers,93.4,29-12,4
1999,1610612756,Suns,93.7,32-9,4
1999,1610612759,Spurs,90.2,31-10,4
1999,1610612766,Hornets,95.8,30-11,4
1999,1610612750,Timberwolves,96.0,26-15,6
1999,1610612761,Raptors,97.3,26-15,6
1999,1610612749,Bucks,101.0,23-18,7
1999,1610612760,SuperSonics,98.1,24-17,7
1999,1610612765,Pistons,102.0,27-14,7
1999,1610612758,Kings,102.0,30-11,8
1999,1610612742,Mavericks,102.0,22-19,9
1999,1610612753,Magic,99.4,26-15,9
1999,1610612738,Celtics,100.1,26-15,10
1999,1610612743,Nuggets,101.1,25-16,10
1999,1610612739,Cavaliers,100.5,22-19,11
1999,1610612745,Rockets,100.3,22-19,11
1999,1610612751,Nets,99.0,22-19,12
1999,1610612763,Grizzlies,99.5,12-29,12
1999,1610612744,Warriors,103.8,12-29,13
1999,1610612764,Wizards,99.9,17-24,13
1999,1610612737,Hawks,99.7,21-20,14
1999,1610612746,Clippers,103.5,10-31,14
1999,1610612741,Bulls,94.2,12-29,15
2000,1610612755,76ers,90.4,29-12,1
2000,1610612759,Spurs,88.4,33-8,1
2000,1610612747,Lakers,97.2,31-10,2
2000,1610612749,Bucks,96.9,31-10,2
2000,1610612748,Heat,86.6,29-12,3
2000,1610612758,Kings,95.9,33-8,3
2000,1610612742,Mavericks,96.2,28-13,4
2000,1610612752,Knicks,86.1,30-11,4
2000,1610612762,Jazz,92.4,28-13,4
2000,1610612761,Raptors,95.4,27-14,5
2000,1610612756,Suns,91.8,31-10,6
2000,1610612766,Hornets,89.8,28-13,6
2000,1610612757,Trail Blazers,91.2,28-13,7
2000,1610612753,Magic,96.5,26-15,7
2000,1610612750,Timberwolves,96.0,30-11,8
2000,1610612754,Pacers,92.8,26-15,8
2000,1610612738,Celtics,96.8,20-21,9
2000,1610612745,Rockets,94.9,24-17,9
2000,1610612760,SuperSonics,97.3,26-15,10
2000,1610612765,Pistons,97.3,18-23,10
2000,1610612739,Cavaliers,96.5,20-21,11
2000,1610612743,Nuggets,99.0,29-12,11
2000,1610612746,Clippers,95.3,22-19,12
2000,1610612751,Nets,97.1,18-23,12
2000,1610612763,Grizzlies,97.5,15-26,13
2000,1610612737,Hawks,96.2,18-23,13
2000,1610612744,Warriors,101.5,11-30,14
2000,1610612764,Wizards,99.9,12-29,14
2000,1610612741,Bulls,96.7,10-31,15
2001,1610612758,Kings,97.0,36-5,1
2001,1610612751,Nets,92.0,33-8,1
2001,1610612759,Spurs,90.5,32-9,2
2001,1610612765,Pistons,92.2,26-15,2
2001,1610612747,Lakers,94.1,34-7,3
2001,1610612738,Celtics,94.1,27-14,3
2001,1610612742,Mavericks,101.0,30-11,4
2001,1610612766,Hornets,92.9,21-20,4
2001,1610612750,Timberwolves,96.0,29-12,5
2001,1610612753,Magic,98.9,27-14,5
2001,1610612757,Trail Blazers,93.7,30-11,6
2001,1610612755,76ers,89.4,22-19,6
2001,1610612761,Raptors,91.8,24-17,7
2001,1610612760,SuperSonics,94.7,26-15,7
2001,1610612754,Pacers,96.5,25-16,8
2001,1610612762,Jazz,95.1,25-16,8
2001,1610612746,Clippers,96.1,25-16,9
2001,1610612749,Bucks,97.7,25-16,9
2001,1610612756,Suns,95.8,23-18,10
2001,1610612764,Wizards,94.2,22-19,10
2001,1610612748,Heat,88.7,18-23,11
2001,1610612745,Rockets,97.2,18-23,11
2001,1610612743,Nuggets,98.0,20-21,12
2001,1610612737,Hawks,98.3,23-18,12
2001,1610612763,Grizzlies,97.3,15-26,13
2001,1610612752,Knicks,95.6,19-22,13
2001,1610612739,Cavaliers,98.6,20-21,14
2001,1610612744,Warriors,103.1,14-27,14
2001,1610612741,Bulls,98.0,14-27,15
2002,1610612759,Spurs,90.4,33-8,1
2002,1610612765,Pistons,87.7,30-11,1
2002,1610612758,Kings,95.2,35-6,2
2002,1610612751,Nets,90.1,33-8,2
2002,1610612742,Mavericks,95.2,33-8,3
2002,1610612754,Pacers,93.3,32-9,3
2002,1610612750,Timberwolves,96.0,33-8,4
2002,1610612755,76ers,94.5,25-16,4
2002,1610612747,Lakers,98.0,31-10,5
2002,1610612740,Hornets,91.8,29-12,5
2002,1610612757,Trail Blazers,92.5,27-14,6
2002,1610612738,Celtics,93.1,25-16,6
2002,1610612762,Jazz,92.3,29-12,7
2002,1610612749,Bucks,99.3,25-16,7
2002,1610612756,Suns,94.4,30-11,8
2002,1610612753,Magic,98.4,26-15,8
2002,1610612745,Rockets,92.3,28-13,9
2002,1610612764,Wizards,92.5,23-18,9
2002,1610612760,SuperSonics,92.3,25-16,10
2002,1610612752,Knicks,97.2,24-17,10
2002,1610612744,Warriors,103.6,24-17,11
2002,1610612737,Hawks,97.6,26-15,11
2002,1610612763,Grizzlies,100.7,20-21,12
2002,1610612741,Bulls,100.1,27-14,12
2002,1610612748,Heat,90.6,16-25,13
2002,1610612746,Clippers,97.9,16-25,13
2002,1610612743,Nuggets,92.4,13-28,14
2002,1610612761,Raptors,96.8,15-26,14
2002,1610612739,Cavaliers,101.0,14-27,15
2003,1610612750,Timberwolves,89.1,31-10,1
2003,1610612754,Pacers,85.6,34-7,1
2003,1610612747,Lakers,94.3,34-7,2
2003,1610612751,Nets,87.8,28-13,2
2003,1610612759,Spurs,84.3,33-8,3
2003,1610612765,Pistons,84.3,31-10,3
2003,1610612748,Heat,89.7,29-12,4
2003,1610612758,Kings,97.8,34-7,4
2003,1610612742,Mavericks,100.8,36-5,5
2003,1610612740,Hornets,92.0,25-16,5
2003,1610612763,Grizzlies,94.3,31-10,6
2003,1610612749,Bucks,97.0,27-14,6
2003,1610612745,Rockets,88.0,27-14,7
2003,1610612752,Knicks,93.5,23-18,7
2003,1610612743,Nuggets,96.1,29-12,8
2003,1610612738,Celtics,96.7,19-22,8
2003,1610612739,Cavaliers,95.5,23-18,9
2003,1610612762,Jazz,89.9,28-13,9
2003,1610612757,Trail Blazers,92.0,25-16,10
2003,1610612761,Raptors,88.5,18-23,10
2003,1610612744,Warriors,94.0,27-14,11
2003,1610612755,76ers,90.5,21-20,11
2003,1610612760,SuperSonics,97.8,21-20,12
2003,1610612737,Hawks,97.5,18-23,12
2003,1610612756,Suns,97.9,18-23,13
2003,1610612764,Wizards,97.4,17-24,13
2003,1610612746,Clippers,99.4,18-23,14
2003,1610612741,Bulls,96.0,14-27,14
2003,1610612753,Magic,101.1,11-30,15
2004,1610612748,Heat,95.0,35-6,1
2004,1610612756,Suns,103.3,31-10,1
2004,1610612759,Spurs,88.4,38-3,2
2004,1610612765,Pistons,89.5,32-9,2
2004,1610612742,Mavericks,96.8,29-12,3
2004,1610612741,Bulls,93.4,27-14,3
2004,1610612738,Celtics,100.4,27-14,4
2004,1610612760,SuperSonics,96.6,26-15,4
2004,1610612745,Rockets,91.0,26-15,5
2004,1610612764,Wizards,100.8,29-12,5
2004,1610612758,Kings,101.6,30-11,6
2004,1610612754,Pacers,92.2,25-16,6
2004,1610612743,Nuggets,97.5,31-10,7
2004,1610612755,76ers,99.9,25-16,7
2004,1610612763,Grizzlies,91.1,26-15,8
2004,1610612751,Nets,92.9,24-17,8
2004,1610612739,Cavaliers,95.7,29-12,9
2004,1610612750,Timberwolves,95.3,24-17,9
2004,1610612746,Clippers,96.5,27-14,10
2004,1610612753,Magic,101.8,24-17,10
2004,1610612747,Lakers,101.7,22-19,11
2004,1610612761,Raptors,101.4,22-19,11
2004,1610612744,Warriors,100.9,20-21,12
2004,1610612752,Knicks,99.7,22-19,12
