TEAM_ID,TEAM_NAME,YEAR,WIN_PCT,FG_PCT,REB,AST_TOV_RAT,PTS,OPP_PPG,HOME_WIN_PCT,PLAYOFF,TOP3_PPG,TOP3_P14,OFF_BENCH_PPG,BENCH_P30
1610612762,Jazz,1984,0.5,0.476,44.3,1.3593750000000002,109.0,109.1,0.6341463414634146,1,21.4490675990676,1,32.91463414634146,1
1610612762,Jazz,1985,0.512,0.488,43.3,1.4486486486486487,108.2,108.5,0.6585365853658537,1,19.755388357977147,1,34.3780487804878,1
1610612762,Jazz,1986,0.537,0.464,44.5,1.5964912280701753,107.9,107.5,0.7560975609756098,1,16.833071839490326,1,45.8780487804878,1
1610612762,Jazz,1987,0.573,0.491,44.1,1.6243093922651932,108.5,104.8,0.8048780487804879,1,20.634146341463417,1,28.426829268292682,0
1610612762,Jazz,1988,0.622,0.482,44.6,1.374331550802139,104.7,99.7,0.8292682926829268,1,21.86646341463415,1,19.524390243902438,0
1610612762,Jazz,1989,0.671,0.505,42.1,1.5697674418604652,106.8,102.0,0.8780487804878049,1,20.796643735668127,1,32.78048780487805,1
1610612762,Jazz,1990,0.659,0.492,40.7,1.69811320754717,104.0,100.7,0.8780487804878049,1,21.62006598326853,1,24.682926829268293,0
1610612762,Jazz,1991,0.671,0.492,44.4,1.7337662337662336,108.3,101.9,0.9024390243902439,1,21.367007929338552,1,27.597560975609756,0
1610612762,Jazz,1992,0.573,0.489,42.7,1.7096774193548387,106.2,104.0,0.6829268292682927,1,20.07831635278378,1,26.609756097560975,0
1610612762,Jazz,1993,0.646,0.477,42.0,1.8344827586206895,101.9,97.7,0.8048780487804879,1,17.13140243902439,1,24.597560975609756,0
1610612762,Jazz,1994,0.732,0.512,40.1,1.751592356687898,106.4,98.4,0.8048780487804879,1,19.294740539997992,1,30.48780487804878,1
1610612762,Jazz,1995,0.671,0.488,41.0,1.7635135135135136,102.5,95.9,0.8292682926829268,1,18.54471544715447,1,32.707317073170735,1
1610612762,Jazz,1996,0.78,0.504,40.2,1.7402597402597402,103.1,94.3,0.926829268292683,1,18.79268292682927,1,28.463414634146343,0
1610612762,Jazz,1997,0.756,0.49,41.1,1.6363636363636362,101.0,94.4,0.8780487804878049,1,17.768595679012346,1,34.170731707317074,1
1610612762,Jazz,1998,0.74,0.465,41.3,1.478527607361963,93.3,86.8,0.88,1,16.14142290249433,1,17.73170731707317,0
1610612762,Jazz,1999,0.671,0.464,41.0,1.6711409395973154,96.5,92.0,0.7560975609756098,1,17.2520325203252,1,23.926829268292682,0
